subnum,year,placeval,ravens,wiat,woodcock,arith,wholegroupsums,abacus,age,female,condition,verbalwm,spatialwm,english,math,science,computer,music,art,phys.ed,attendance,mental.rot,ordinality,deviance,cov,linslope,linr2,logr2,averagegrades,ans
39,0,0.181818182,0.833333333,0.12,0.302325581,0.166666667,NA,1,7.2,0,abacus,3.71,5,97,96,100,94,90,90,85,240,0.354166667,NA,NA,NA,NA,NA,NA,92.66666667,9
40,0,0.363636364,0.083333333,0.12,NA,0.104166667,NA,0,6.3,0,control,1.88,2.58,85,88,95,62,83,84,75,249,0.395833333,NA,NA,NA,NA,NA,NA,80.66666667,6
41,0,0.181818182,NA,0.16,0.23255814,0.083333333,NA,0,6.2,0,control,2.88,2.12,59,69,66,77,87,86,76,187,0.1875,NA,NA,NA,NA,NA,NA,75.16666667,9
42,0,0.636363636,0.916666667,NA,0.162790698,0.0625,NA,1,7.3,0,abacus,2.83,4.54,72,88,79,64,85,90,80,246,0.3125,NA,NA,NA,NA,NA,NA,78.33333333,8
43,0,0.636363636,0.5,0.28,0.186046512,0.104166667,NA,1,5.7,0,abacus,3.12,3.92,89,98,94,84,90,88,79,244,0.385416667,NA,NA,NA,NA,NA,NA,87.33333333,NA
44,0,0.272727273,0.083333333,NA,0.302325581,0.1875,NA,1,6.1,1,abacus,1.67,1.62,93,93,96,80,92,86,75,244,0.21875,NA,NA,NA,NA,NA,NA,87,7
45,0,0.272727273,0.25,0.04,0.255813953,0.041666667,NA,0,6.2,0,control,1.58,1.79,60,80,70,70,91,84,76,236,0.135416667,NA,NA,NA,NA,NA,NA,75.16666667,9
46,0,0.363636364,0.416666667,NA,0.279069767,0.083333333,NA,0,6.2,0,control,3.42,3.67,43,87,45,70,90,88,81,242,0.395833333,NA,NA,NA,NA,NA,NA,69.5,7
47,0,0.363636364,0.416666667,0.2,0.162790698,0.041666667,NA,0,5.8,1,control,2.75,3.54,60,86,75,62,87,84,74,239,0.479166667,NA,NA,NA,NA,NA,NA,73.66666667,8
48,0,0.363636364,0.583333333,0.2,0.255813953,0.145833333,NA,1,7.1,0,abacus,4.12,3.33,91,92,98,72,90,92,75,242,0.0625,NA,NA,NA,NA,NA,NA,86.33333333,6
49,0,0.363636364,0.583333333,NA,0.255813953,0.145833333,NA,1,6.4,0,abacus,3.21,2.83,43,72,53,76,87,88,80,241,0.333333333,NA,NA,NA,NA,NA,NA,71.16666667,9
50,0,0.272727273,0.5,0.12,0.279069767,0.145833333,NA,1,6.1,0,abacus,2.67,2.29,91,96,97,84,89,92,75,250,0.416666667,NA,NA,NA,NA,NA,NA,88,9
51,0,0.181818182,0.166666667,NA,0.209302326,0.1875,NA,1,5.6,0,abacus,2.29,2.46,73,83,86,90,88,88,80,243,0.260416667,NA,NA,NA,NA,NA,NA,84.16666667,8
52,0,0.272727273,0.666666667,0.24,0.255813953,0.145833333,NA,1,5.9,1,abacus,2.92,1.42,35,85,47,38,90,90,80,246,0.46875,NA,NA,NA,NA,NA,NA,63.33333333,8
53,0,0.181818182,0.333333333,0.16,0.23255814,0.125,NA,1,6.2,0,abacus,2.21,1.83,87,90,95,76,89,88,76,241,0.145833333,NA,NA,NA,NA,NA,NA,85.16666667,7
54,0,0.545454545,0.583333333,0.2,0.325581395,0.270833333,NA,0,6.4,0,control,3.12,4.25,97,95,99,90,91,88,93,248,0.427083333,NA,NA,NA,NA,NA,NA,93,8
56,0,0.181818182,0.25,0.16,0.139534884,0.1875,NA,1,7.2,0,abacus,1.29,2.21,66,78,74,52,89,90,85,229,0.125,NA,NA,NA,NA,NA,NA,76,9
58,0,0.454545455,0.75,0.24,0.279069767,0.25,NA,0,6.3,1,control,1.96,1.38,85,98,90,82,91,84,81,248,0.166666667,NA,NA,NA,NA,NA,NA,85.5,9
59,0,1,0.583333333,0.08,0.11627907,0.020833333,NA,0,7.9,0,control,2.75,1.58,54,50,62,80,90,82,75,234,0.135416667,NA,NA,NA,NA,NA,NA,73.83333333,8
60,0,0.181818182,0.75,NA,0.255813953,0.125,NA,1,6.6,0,abacus,2.67,2.12,69,95,81,88,90,82,75,241,0.208333333,NA,NA,NA,NA,NA,NA,80.83333333,8
62,0,0.272727273,0.583333333,0.08,0.209302326,0.0625,NA,1,5.8,0,abacus,2.75,2.38,51,64,64,66,86,82,76,241,0.208333333,NA,NA,NA,NA,NA,NA,70.83333333,11
63,0,0.363636364,0.5,0.2,0.186046512,0.104166667,NA,1,6.3,1,abacus,3.92,3.04,98,100,100,86,91,92,86,247,0.135416667,NA,NA,NA,NA,NA,NA,92.16666667,8
64,0,0.272727273,0.666666667,NA,0.255813953,0.291666667,NA,0,6.5,1,control,3.33,2.29,67,92,84,70,91,86,81,242,0.177083333,NA,NA,NA,NA,NA,NA,79.83333333,5
65,0,0.454545455,0.75,0.24,0.23255814,0.145833333,NA,1,6.8,1,abacus,4.5,4.29,90,91,96,82,89,92,76,228,0.416666667,NA,NA,NA,NA,NA,NA,87.5,12
66,0,0.363636364,0.666666667,0.28,0.162790698,0.229166667,NA,1,6.2,0,abacus,3.92,4.29,32,74,37,46,85,84,80,233,0.385416667,NA,NA,NA,NA,NA,NA,60.66666667,7
67,0,0.181818182,0.166666667,0.04,0.209302326,0.083333333,NA,0,6.3,0,control,2.25,1.42,47,67,54,76,88,86,79,246,0.15625,NA,NA,NA,NA,NA,NA,71.66666667,NA
68,0,0,0.5,0.2,0.209302326,0.125,NA,0,6.3,1,control,2.83,2.54,79,89,85,88,84,90,74,242,0.666666667,NA,NA,NA,NA,NA,NA,83.33333333,13
69,0,0.363636364,0.166666667,0.12,NA,0.125,NA,0,7.2,0,control,1.25,1.46,83,93,86,78,91,84,74,245,0.28125,NA,NA,NA,NA,NA,NA,82.66666667,5
70,0,0.090909091,0.5,0.12,0.186046512,0.145833333,NA,1,6.7,1,abacus,2,2.04,87,92,94,82,90,88,85,243,0.291666667,NA,NA,NA,NA,NA,NA,87.66666667,6
71,0,0.454545455,0.5,0.16,0.325581395,0.1875,NA,1,7.1,1,abacus,3.08,3.67,83,93,90,94,91,90,76,234,0.25,NA,NA,NA,NA,NA,NA,87.33333333,7
72,0,0.090909091,0.666666667,0.12,0.255813953,0.1875,NA,1,7.2,1,abacus,2.5,3.88,95,100,98,94,89,86,80,243,0.270833333,NA,NA,NA,NA,NA,NA,90.33333333,7
73,0,0.272727273,0.75,0.12,0.162790698,0.083333333,NA,0,6.2,0,control,2.62,3.79,28,60,40,56,86,84,79,221,0.479166667,NA,NA,NA,NA,NA,NA,62.16666667,8
74,0,0.181818182,0.583333333,0.12,0.255813953,0.104166667,NA,0,6.4,0,control,4.25,2.79,90,93,96,78,90,84,74,247,0.197916667,NA,NA,NA,NA,NA,NA,85.33333333,5
75,0,0.545454545,0.916666667,0.16,0.302325581,0.25,NA,1,7.5,1,abacus,4.17,3.79,96,97,98,96,88,92,80,246,0.479166667,NA,NA,NA,NA,NA,NA,91.66666667,13
76,0,0.090909091,0.5,0.2,0.302325581,0.1875,NA,0,6.8,1,control,4.12,2.79,82,92,87,78,90,90,79,245,0.291666667,NA,NA,NA,NA,NA,NA,84.33333333,9
79,0,0.090909091,0.583333333,0.2,0.302325581,0.166666667,NA,0,6.4,1,control,3.46,4.04,96,97,98,94,91,84,76,245,0.302083333,NA,NA,NA,NA,NA,NA,89.83333333,8
80,0,0,0.416666667,0.12,0.162790698,0.0625,NA,0,7.1,0,control,1.42,1.38,69,81,70,72,86,84,79,250,0,NA,NA,NA,NA,NA,NA,76.66666667,5
81,0,0.272727273,0.583333333,0.08,0.162790698,0.104166667,NA,1,6.7,1,abacus,2.5,2.92,73,89,86,36,87,86,76,244,0.270833333,NA,NA,NA,NA,NA,NA,74,7
82,0,0.363636364,0.166666667,0.16,0.186046512,0.1875,NA,1,6.5,0,abacus,1.71,2.75,78,98,80,82,91,88,85,243,0.614583333,NA,NA,NA,NA,NA,NA,84,NA
83,0,0.545454545,0.583333333,0.08,0.186046512,0.083333333,NA,0,6.8,0,control,2.5,1.25,58,79,82,50,83,80,75,232,-0.083333333,NA,NA,NA,NA,NA,NA,71.33333333,8
84,0,0.454545455,NA,NA,0.162790698,0.125,NA,1,6.5,0,abacus,3.46,3.08,75,82,81,74,90,84,75,244,0.375,NA,NA,NA,NA,NA,NA,79.83333333,8
85,0,0.454545455,0.666666667,0.12,0.255813953,0.270833333,NA,1,6.6,0,abacus,2.96,1.33,49,73,73,84,84,80,75,239,0.104166667,NA,NA,NA,NA,NA,NA,74.16666667,8
86,0,0,0.666666667,0.24,0.279069767,0.0625,NA,0,6.6,0,control,2.12,2.92,57,81,65,64,86,86,76,240,0.229166667,NA,NA,NA,NA,NA,NA,72.33333333,6
87,0,0.454545455,0.416666667,0.16,0.279069767,0.166666667,NA,0,7,1,control,3.75,4.38,72,85,81,74,87,84,74,251,0.302083333,NA,NA,NA,NA,NA,NA,78.66666667,6
88,0,0.272727273,0.5,0.08,0.209302326,0.104166667,NA,0,6.6,1,control,3.29,2.12,69,84,79,58,88,88,75,245,0.3125,NA,NA,NA,NA,NA,NA,76.16666667,6
89,0,0.272727273,0.5,0.2,0.255813953,0.25,NA,0,7.4,0,control,4.25,4.21,88,98,96,84,93,92,89,232,0.520833333,NA,NA,NA,NA,NA,NA,90.33333333,11
90,0,0.272727273,NA,0.04,0.162790698,0.083333333,NA,0,6.8,0,control,3.25,1.29,68,79,76,80,89,86,75,242,0.125,NA,NA,NA,NA,NA,NA,79,9
91,0,0.272727273,0.833333333,0.12,0.255813953,0.166666667,NA,1,6.2,1,abacus,4.12,2.08,81,95,81,80,89,88,85,247,0.458333333,NA,NA,NA,NA,NA,NA,84,7
92,0,0.363636364,0.833333333,0.24,0.302325581,0.1875,NA,1,6.1,0,abacus,3.29,2.71,94,95,97,80,87,88,80,246,0.583333333,NA,NA,NA,NA,NA,NA,87.66666667,7
93,0,0.181818182,0.416666667,NA,0.302325581,0.1875,NA,0,7,1,control,4.33,4.04,51,73,65,50,85,84,76,234,0.052083333,NA,NA,NA,NA,NA,NA,68.5,11
94,0,0.090909091,0.333333333,NA,0.186046512,0.0625,NA,0,6.8,0,control,3.08,2.75,66,79,75,78,89,86,75,238,0.09375,NA,NA,NA,NA,NA,NA,78.16666667,6
95,0,0,0.583333333,0.08,0.162790698,0.166666667,NA,0,7,0,control,1.62,3.92,68,74,79,52,88,82,76,240,NA,NA,NA,NA,NA,NA,NA,74.16666667,6
96,0,0.181818182,0.416666667,0.2,0.302325581,0.229166667,NA,0,7.3,1,control,2.54,1.75,87,94,94,70,90,86,80,242,0.166666667,NA,NA,NA,NA,NA,NA,84.5,7
97,0,0.272727273,0.083333333,0.12,0.186046512,0.166666667,NA,1,7.4,0,abacus,4,2.08,94,93,100,80,89,82,90,236,0.09375,NA,NA,NA,NA,NA,NA,89.16666667,7
98,0,0.363636364,0.583333333,0.16,0.209302326,0.25,NA,0,6.1,1,control,3.08,3.38,94,97,98,66,91,88,75,250,0.09375,NA,NA,NA,NA,NA,NA,85.33333333,8
99,0,0.363636364,0.666666667,0.08,0.302325581,0.208333333,NA,1,6.8,0,abacus,3.25,2.04,95,98,98,82,89,84,75,251,0.375,NA,NA,NA,NA,NA,NA,87.16666667,10
100,0,0.181818182,0.25,0.24,0.325581395,0.1875,NA,0,6.8,0,control,3.67,3.67,76,89,81,88,88,88,80,249,0.302083333,NA,NA,NA,NA,NA,NA,83.5,15
101,0,0.181818182,0.083333333,0.08,0.279069767,0.104166667,NA,0,5.9,1,control,1.79,2.88,50,66,70,66,89,86,76,238,-0.125,NA,NA,NA,NA,NA,NA,72.83333333,8
102,0,0.454545455,0.666666667,0.16,0.279069767,0.208333333,NA,1,7,0,abacus,3.71,3.71,92,96,96,40,88,86,85,240,0.625,NA,NA,NA,NA,NA,NA,81.16666667,8
104,0,0.272727273,0.5,0.12,0.23255814,0.125,NA,1,6.8,0,abacus,2.79,1.96,74,81,82,74,88,84,75,251,0.135416667,NA,NA,NA,NA,NA,NA,79.5,7
105,0,0.181818182,0.583333333,NA,0.046511628,0.083333333,NA,1,6.8,1,abacus,2.5,1.88,54,74,71,66,87,84,76,250,0.322916667,NA,NA,NA,NA,NA,NA,73,9
106,0,0.272727273,0.75,0.12,0.302325581,0.166666667,NA,0,6.8,0,control,3.12,2.83,61,79,77,84,86,82,75,217,-0.104166667,NA,NA,NA,NA,NA,NA,77.5,12
107,0,0.272727273,0.666666667,0.04,0.162790698,0.145833333,NA,1,6.4,1,abacus,3.38,2.21,76,85,84,76,88,84,80,236,0.208333333,NA,NA,NA,NA,NA,NA,81.33333333,8
108,0,0.090909091,0.5,0.08,0.069767442,0.229166667,NA,1,6.8,1,abacus,2.33,2.46,91,92,94,78,91,92,80,246,0.3125,NA,NA,NA,NA,NA,NA,87.66666667,8
109,0,0.636363636,0.333333333,0.2,0.255813953,0.166666667,NA,1,6.1,0,abacus,3.04,4.33,70,89,84,80,92,86,84,241,0.4375,NA,NA,NA,NA,NA,NA,82.66666667,10
110,0,0.363636364,0.666666667,0.32,0.302325581,0.291666667,NA,1,6.8,0,abacus,3.58,4.33,89,95,94,88,89,88,80,236,0.21875,NA,NA,NA,NA,NA,NA,88,11
111,0,0.272727273,0.75,0.16,0.255813953,0.104166667,NA,0,6.2,0,control,1.21,2.79,93,95,100,94,89,86,75,247,0.3125,NA,NA,NA,NA,NA,NA,89.5,8
112,0,0.181818182,0.75,0.04,0.255813953,0.125,NA,0,6.7,0,control,3.46,5.21,45,73,49,54,86,84,79,241,0.520833333,NA,NA,NA,NA,NA,NA,66.16666667,8
114,0,0.181818182,0.166666667,0.12,0.255813953,0.145833333,NA,0,6.6,0,control,3.21,2.62,81,88,88,80,90,86,84,233,0.5,NA,NA,NA,NA,NA,NA,84.83333333,9
115,0,0.363636364,0.666666667,0.16,0.279069767,0.125,NA,0,6.5,1,control,3.12,3.21,89,96,96,82,84,90,76,243,0.25,NA,NA,NA,NA,NA,NA,86.16666667,9
116,0,0.363636364,0.416666667,0.2,0.186046512,0.083333333,NA,1,6.9,1,abacus,2.54,3,74,89,77,68,89,90,80,247,0.104166667,NA,NA,NA,NA,NA,NA,79.66666667,14
117,0,0.363636364,0.416666667,0.12,0.162790698,0.208333333,NA,1,6.4,0,abacus,4.25,3.46,59,85,63,64,91,90,80,240,0.510416667,NA,NA,NA,NA,NA,NA,74.5,8
119,0,0.545454545,0.5,0.16,0.162790698,0.125,NA,0,6.8,1,control,2.29,2.04,80,98,84,80,90,88,75,240,0.166666667,NA,NA,NA,NA,NA,NA,82.83333333,9
122,0,0.181818182,0.333333333,0.12,0.302325581,0.125,NA,0,6.7,0,control,2.29,1.88,82,94,92,84,89,82,81,243,0.395833333,NA,NA,NA,NA,NA,NA,85,9
123,0,0.090909091,0.583333333,0.12,0.302325581,0.083333333,NA,0,6.6,0,control,3.75,3.58,68,90,77,80,90,82,86,247,0.364583333,NA,NA,NA,NA,NA,NA,80.5,6
124,0,0.090909091,0.333333333,0.2,0.23255814,0.125,NA,0,6.9,0,control,2.08,1.62,72,76,87,84,86,88,79,234,0.552083333,NA,NA,NA,NA,NA,NA,82.66666667,8
125,0,0.454545455,0.583333333,0.24,0.302325581,0.0625,NA,0,6.5,0,control,NA,NA,72,95,81,64,85,86,85,241,0.6875,NA,NA,NA,NA,NA,NA,78.83333333,NA
127,0,0.363636364,0.666666667,NA,0.255813953,0.145833333,NA,0,6.7,0,control,3,2.67,75,89,88,80,88,92,75,249,0.15625,NA,NA,NA,NA,NA,NA,83,8
128,0,0.454545455,0.75,0.16,0.23255814,0.104166667,NA,1,6.5,0,abacus,4.42,2.75,39,78,49,58,91,86,81,245,0.479166667,NA,NA,NA,NA,NA,NA,67.33333333,9
129,0,0.363636364,0.666666667,0.2,0.279069767,0.208333333,NA,1,5.9,0,abacus,3,3.58,84,88,88,84,84,84,74,242,0.21875,NA,NA,NA,NA,NA,NA,83,11
130,0,0.181818182,0.666666667,0.24,0.302325581,0.0625,NA,1,6.2,1,abacus,1.92,3.04,64,87,82,62,85,88,75,242,0.208333333,NA,NA,NA,NA,NA,NA,76,9
131,0,0.454545455,0.5,0.08,0.162790698,0.0625,NA,0,6.5,1,control,1.12,1.79,61,89,83,62,91,84,75,245,0.104166667,NA,NA,NA,NA,NA,NA,76,8
133,0,0.454545455,0.666666667,0.24,0.255813953,0.145833333,NA,1,7.7,0,abacus,1.46,1.17,76,88,82,76,88,84,81,246,0.239583333,NA,NA,NA,NA,NA,NA,81.16666667,10
134,0,0.272727273,0.583333333,0.2,0.255813953,0.166666667,NA,1,7.1,0,abacus,2.67,1.96,93,91,99,82,91,90,79,240,0.416666667,NA,NA,NA,NA,NA,NA,89,8
135,0,0.363636364,0.583333333,0.16,0.302325581,0.166666667,NA,0,7,0,control,1.67,1.96,75,92,91,80,88,82,75,245,0.3125,NA,NA,NA,NA,NA,NA,81.83333333,7
136,0,0.181818182,0.583333333,0.12,0.209302326,0.104166667,NA,1,6.7,0,abacus,1.5,1.67,81,92,88,80,88,88,81,244,0.104166667,NA,NA,NA,NA,NA,NA,84.33333333,6
137,0,0.272727273,0.583333333,0.2,0.209302326,0.083333333,NA,1,7,1,abacus,2.88,2,71,83,83,38,83,84,80,241,0.28125,NA,NA,NA,NA,NA,NA,73.16666667,10
138,0,0.454545455,0.25,0.2,0.162790698,0.125,NA,1,7.5,0,abacus,2.58,1.75,68,81,76,76,90,90,79,236,0.739583333,NA,NA,NA,NA,NA,NA,79.83333333,8
139,0,0.272727273,0.416666667,0.04,0.186046512,0.0625,NA,0,6.2,1,control,1.33,1.62,36,63,61,54,84,88,76,246,0.03125,NA,NA,NA,NA,NA,NA,66.5,NA
141,0,0.272727273,0.666666667,0.2,0.279069767,0.208333333,NA,1,7.1,1,abacus,3.46,3.42,92,97,97,80,91,88,75,249,-0.010416667,NA,NA,NA,NA,NA,NA,87.16666667,8
142,0,0.181818182,0.583333333,0.12,0.139534884,0.0625,NA,1,5.7,1,abacus,1.29,1.42,31,65,60,50,88,84,76,220,0.135416667,NA,NA,NA,NA,NA,NA,64.83333333,5
144,0,0.363636364,NA,0.12,0.186046512,0.041666667,NA,1,5.8,0,abacus,2.88,1.46,87,90,90,76,86,88,75,250,NA,NA,NA,NA,NA,NA,NA,83.66666667,7
145,0,0.181818182,0.833333333,0.08,0.255813953,0.0625,NA,1,6.8,1,abacus,3.62,2.67,61,82,78,62,89,88,79,236,0.375,NA,NA,NA,NA,NA,NA,76.16666667,9
146,0,0.454545455,0.666666667,0.16,0.209302326,0.1875,NA,0,7.3,0,control,3.08,4.83,83,96,94,96,88,92,80,250,0.322916667,NA,NA,NA,NA,NA,NA,88.83333333,8
148,0,0.181818182,NA,0.16,0.255813953,0.208333333,NA,1,6.2,0,abacus,3,3.5,74,87,89,68,90,84,75,247,0.010416667,NA,NA,NA,NA,NA,NA,80,9
149,0,0.363636364,0.75,0.08,0.302325581,0.166666667,NA,0,6.6,1,control,4.12,3.67,83,91,91,76,88,88,75,224,-0.072916667,NA,NA,NA,NA,NA,NA,83.5,9
151,0,0.181818182,0.416666667,0.2,0.302325581,0.020833333,NA,0,6.4,1,control,3.04,3.17,65,89,84,82,90,92,81,237,NA,NA,NA,NA,NA,NA,NA,82.33333333,10
152,0,0.363636364,0.333333333,0.28,0.279069767,0.104166667,NA,0,6.7,0,control,3.08,2.88,88,97,98,92,91,90,91,239,0.208333333,NA,NA,NA,NA,NA,NA,91.66666667,10
153,0,0.363636364,0.583333333,NA,0.255813953,0.041666667,NA,0,6.1,1,control,1.96,1.54,40,68,38,46,89,88,76,245,-0.041666667,NA,NA,NA,NA,NA,NA,62.83333333,10
154,0,0.272727273,0.583333333,0.16,0.162790698,0.041666667,NA,0,7.2,0,control,1.62,2.25,74,96,85,84,88,88,85,250,0.416666667,NA,NA,NA,NA,NA,NA,84,9
155,0,0.272727273,0.75,0.36,0.325581395,0.333333333,NA,1,6.8,1,abacus,2.71,3.88,98,98,100,96,88,94,85,251,0.1875,NA,NA,NA,NA,NA,NA,93.5,10
156,0,0.272727273,0.5,0.12,NA,0.041666667,NA,0,8.4,0,control,1.46,3.25,76,80,89,82,90,84,80,247,-0.125,NA,NA,NA,NA,NA,NA,83.5,5
157,0,0.090909091,0.666666667,0.28,0.325581395,0.166666667,NA,0,6.5,0,control,5.62,3.75,88,95,95,70,90,90,81,245,0.416666667,NA,NA,NA,NA,NA,NA,85.66666667,10
158,0,0.363636364,0.333333333,0.04,0.069767442,0.104166667,NA,0,6,0,control,1.17,2.62,58,85,73,56,92,82,74,250,0.15625,NA,NA,NA,NA,NA,NA,72.5,7
159,0,0.272727273,0.666666667,NA,0.209302326,0.083333333,NA,0,6.4,1,control,1.75,2.08,87,92,94,82,86,90,80,251,0.354166667,NA,NA,NA,NA,NA,NA,86.5,10
160,0,0.363636364,0.75,0.12,0.302325581,0.208333333,NA,0,6.7,0,control,3.33,3.25,89,96,98,84,90,86,75,251,0.604166667,NA,NA,NA,NA,NA,NA,87,8
